station_observations,,,,,,,,
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
,,,,,,,,
10, None, None, None, None,10, 1988-10-31 07:00:00, None, None
14, None, None, None,10,14, 1988-10-31 15:30:00, None, None
9.5, None, None, None, None,10, 1988-11-01 07:00:00, None, None
12, None, None, None, None,12, 1988-11-01 15:45:00, None, None
9.5, None, None, None,8,10, 1988-11-02 06:50:00, None, None
10, None, None, None,9.5,10.5, 1988-11-02 15:30:00, None, None
9, None, None, None,8.5,10, 1988-11-03 07:30:00, None, None
10, None, None, None,9,10, 1988-11-03 16:00:00, None, None
7.5, None, None, None,5,8, 1988-11-04 07:30:00, None, None
10, None, None, None,7.5,10, 1988-11-04 16:00:00, None, None
7, None, None, None,5,7, 1988-11-07 07:00:00, None, None
9, None, None, None,7,9, 1988-11-07 15:30:00, None, None
7.5, None, None, None, None,8, 1988-11-08 07:00:00, None, None
9.5, None, None, None,6,10, 1988-11-08 15:30:00, None, None
7, None, None, None,2,7, 1988-11-09 07:00:00, None, None
9, None, None, None,7,9, 1988-11-09 15:30:00, None, None
5, None, None, None, None,6, 1988-11-10 07:00:00, None, None
7.5, None, None, None,5,8, 1988-11-10 15:30:00, None, None
-1, None, None, None,-2,0, 1988-11-14 07:00:00, None, None
7.5, None, None, None,-1,8, 1988-11-14 15:30:00, None, None
7, None, None, None,-1,7, 1988-11-15 07:00:00, None, None
8, None, None, None,7,9, 1988-11-15 15:30:00, None, None
7.5, None, None, None,7,8, 1988-11-16 07:00:00, None, None
7.5, None, None, None,6.5,8, 1988-11-16 15:30:00, None, None
5.5, None, None, None,5,6, 1988-11-17 07:00:00, None, None
8, None, None, None,3,9, 1988-11-17 15:30:00, None, None
4, None, None, None,3,8, 1988-11-18 07:00:00, None, None
7, None, None, None,3,7, 1988-11-19 07:00:00, None, None
7.5, None, None, None,5.5,8, 1988-11-21 07:30:00, None, None
9.5, None, None, None,7,10, 1988-11-21 15:30:00, None, None
6.5, None, None, None,5,7, 1988-11-22 07:30:00, None, None
6.5, None, None, None,0,9, 1988-11-22 15:30:00, None, None
3.5, None, None, None,3,4, 1988-11-23 07:30:00, None, None
5.5, None, None, None,2,6, 1988-11-23 15:30:00, None, None
1, None, None, None,0.5,2, 1988-11-24 07:30:00, None, None
4, None, None, None,1,5, 1988-11-24 15:30:00, None, None
0.5, None, None, None,0,1, 1988-11-25 07:00:00, None, None
3.5, None, None, None,0,4, 1988-11-25 15:30:00, None, None
-1.5, None, None, None,-2.5,-1, 1988-11-26 07:20:00, None, None
5, None, None, None,-2,6, 1988-11-26 15:20:00, None, None
5, None, None, None,-2,6, 1988-11-27 07:30:00, None, None
7.5, None, None, None,1,10, 1988-11-27 15:20:00, None, None
6, None,0,0,5.5,7, 1988-11-28 07:00:00, None,0
6, None,1,1,5,7, 1988-11-28 15:30:00, None,0
5, None,0,0,4,6, 1988-11-29 07:00:00, None,0
7, None,0,0,5,8, 1988-11-29 15:30:00, None,0
1, None, None, None,-0.5,2, 1988-11-30 07:00:00, None, None
6.5, None,0,0,1,7, 1988-11-30 15:30:00, None, None
1, None,0,0,0,2, 1988-12-01 07:00:00, None, None
6.5, None,0,0,1,7, 1988-12-01 15:30:00, None,0
4.5, None,0,0,3.5,5, 1988-12-02 07:00:00, None,0
5.5, None, None, None,4.5,7, 1988-12-02 15:30:00, None, None
5, None,0,0,4,6, 1988-12-03 07:20:00, None,0
9, None, None, None,4,10, 1988-12-03 15:15:00, None, None
0.5, None, None, None,0,4, 1988-12-04 07:20:00, None, None
7, None,0,0,6,9, 1988-12-04 15:15:00, None, None
5.5, None,0,0,3,6, 1988-12-05 07:00:00, None,0
9, None, None, None,5,9, 1988-12-05 15:20:00, None, None
8.5, None, None, None,5,9, 1988-12-06 07:00:00, None, None
8, None,0,0,7,9, 1988-12-06 15:30:00, None,0
7.5, None,0,0,7.5,8, 1988-12-07 07:00:00, None,0
8.5, None,0,0,7,9, 1988-12-07 15:30:00, None,0
7, None,0,0,7,8, 1988-12-08 07:00:00, None,0
8, None,0,0,7,9, 1988-12-08 15:30:00, None,0
7.5, None,0,0,7,8, 1988-12-09 07:00:00, None,0
8.5, None, None, None,7,9.5, 1988-12-09 15:30:00, None, None
7.5, None, None, None,7,7.5, 1988-12-10 07:25:00, None, None
7.5, None, None, None,7,8, 1988-12-10 15:15:00, None, None
5.5, None, None, None,5,6.5, 1988-12-11 07:25:00, None, None
7, None, None, None,6,7.5, 1988-12-11 15:00:00, None, None
8, None, None, None,7.5,9, 1988-12-12 07:00:00, None, None
8.5, None, None, None,7.5,9, 1988-12-12 15:30:00, None, None
5, None, None, None,5,9, 1988-12-13 07:00:00, None, None
6, None, None, None,5,8.5, 1988-12-13 14:00:00, None, None
2, None, None, None,-2,6, 1988-12-14 07:30:00, None, None
4.5, None, None, None,1.5,5, 1988-12-14 16:00:00, None, None
-3, None, None, None,-3,4.5, 1988-12-15 07:30:00, None, None
4.5, None, None, None,-3.5,5, 1988-12-15 16:00:00, None, None
-2.5, None, None, None,-2.5,4.5, 1988-12-16 07:00:00, None, None
7.5, None, None, None,-2.5,8, 1988-12-16 16:00:00, None, None
-1, None, None, None,-3,7, 1988-12-17 07:40:00, None, None
9, None, None, None,-2,11, 1988-12-17 15:30:00, None, None
-2, None, None, None,-2.5,9, 1988-12-18 07:40:00, None, None
3, None, None, None,1,5, 1988-12-18 15:40:00, None, None
0, None, None, None,0,3, 1988-12-19 07:00:00, None, None
3.5, None, None, None,-0.5,4.5, 1988-12-19 16:00:00, None, None
3.5, None, None, None,2,3.5, 1988-12-20 07:00:00, None, None
5, None, None, None,3.5,5.5, 1988-12-20 15:30:00, None, None
3, None, None, None,0,5, 1988-12-21 07:00:00, None, None
6, None, None, None,3,6.5, 1988-12-21 15:30:00, None, None
5, None, None, None,1,6, 1988-12-22 07:00:00, None, None
3, None, None, None,3,5, 1988-12-22 15:30:00, None, None
3.5, None, None, None,3,4, 1988-12-23 07:20:00, None, None
5, None, None, None,1.5,6, 1988-12-23 15:40:00, None, None
2, None, None, None,2,3, 1988-12-24 07:15:00, None, None
2, None, None, None,1,3, 1988-12-24 15:30:00, None, None
0, None, None, None,-1,3, 1988-12-25 07:25:00, None, None
5, None, None, None,-1,7, 1988-12-25 15:05:00, None, None
-3, None, None, None,-4,4, 1988-12-26 07:30:00, None, None
2, None, None, None,-2,3, 1988-12-26 15:00:00, None, None
3, None, None, None,-2,4, 1988-12-27 07:20:00, None, None
4, None, None, None,2,6, 1988-12-27 15:00:00, None, None
1, None,0,0,-2,1, 1988-12-28 06:45:00, None,0
5, None,0,0,-2,7, 1988-12-28 15:15:00, None,0
5, None,0,0,-1,5, 1988-12-29 07:00:00, None,0
5, None,0,0,0,6, 1988-12-29 17:00:00, None,0
5, None,0,0,2,6, 1988-12-30 07:00:00, None,0
7, None,0,0,2,9, 1988-12-30 16:00:00, None,0
3, None, None, None,2,6, 1988-12-31 07:30:00, None, None
5, None, None, None,2,5, 1988-12-31 15:30:00, None, None
1, None, None, None,1,5, 1989-01-01 07:30:00, None, None
1, None, None, None,1,3, 1989-01-01 07:36:00, None, None
5, None, None, None,2,5.5, 1989-01-01 15:15:00, None, None
5, None, None, None,4,5, 1989-01-02 07:45:00, None, None
6, None, None, None,4,6.5, 1989-01-02 15:00:00, None, None
8.5, None,0,0,5,9, 1989-01-03 07:00:00, None,0
5, None,0,0,5,5.5, 1989-01-03 15:30:00, None,0
3, None,0,0,3,4, 1989-01-04 07:00:00, None,0
5, None, None, None,3,5.5, 1989-01-04 15:30:00, None, None
1, None, None, None,1,1, 1989-01-05 07:00:00, None, None
5, None,0,0,1,5.5, 1989-01-05 15:30:00, None,0
3, None,0,0,0,3.5, 1989-01-06 15:30:00, None,0
-2, None,0,1,-3,3, 1989-01-07 07:30:00, None,1
1, None,0,0,-3,3, 1989-01-07 15:30:00, None,0
0, None,2,2,-1,3, 1989-01-08 07:30:00, None,2
0, None,0,1,-1,1, 1989-01-08 15:30:00, None,3
4.5, None,0,0,-3,5, 1989-01-09 07:10:00, None,0
2, None,0,0,2,2.5, 1989-01-09 15:30:00, None,0
0, None,0,0,-0.5,0, 1989-01-10 07:00:00, None,0
3.5, None, None, None,0,4, 1989-01-10 17:15:00, None, None
0, None,0,0,-1,0, 1989-01-11 07:00:00, None,0
5, None,0,0,-2,5, 1989-01-11 16:10:00, None,0
3, None,0,0,3,3.5, 1989-01-12 07:00:00, None,0
5, None,0,0,3,5.5, 1989-01-12 15:40:00, None,0
2, None,0,0,2,2, 1989-01-13 07:00:00, None,0
0.5, None,1,2,0.5,1.5, 1989-01-13 16:30:00, None,1
-0.5, None,0,2,-0.5,0, 1989-01-14 08:15:00, None,2
3, None,0,0,-2,3, 1989-01-14 15:30:00, None,0
4, None,0,0,-1,4, 1989-01-15 07:30:00, None,0
6, None,0,0,3,7, 1989-01-15 15:30:00, None,0
5.5, None,0,0,5.5,6, 1989-01-16 07:00:00, None,0
7.5, None,0,0,5.5,8, 1989-01-16 16:00:00, None,0
5, None,0,0,5,6, 1989-01-17 07:00:00, None,0
5, None,0,0,5,5.5, 1989-01-17 15:50:00, None,0
7, None,0,0,6.5,7.5, 1989-01-18 07:10:00, None,0
7, None,0,0,6.5,8, 1989-01-18 15:30:00, None,0
2, None,0,0,-0.5,3, 1989-01-19 07:30:00, None,0
7, None,0,0,1.5,8, 1989-01-19 16:00:00, None,0
0.5, None,0,0,-1,1, 1989-01-20 07:00:00, None,0
6, None,0,0,0.5,7, 1989-01-20 15:45:00, None,0
5, None,0,0,-1,6, 1989-01-21 07:30:00, None,0
6, None,0,0,-1,6, 1989-01-21 15:30:00, None,0
-1, None,0,0,-3,1, 1989-01-22 07:30:00, None,0
3, None,0,0,-3,4, 1989-01-22 15:30:00, None,0
-3, None,0,0,-3,-2.5, 1989-01-23 07:00:00, None,0
2, None,0,0,-3,2.5, 1989-01-23 15:30:00, None,0
1, None,1,1,1,1.5, 1989-01-24 07:00:00, None,1
3, None,0,0,0.5,4, 1989-01-24 15:30:00, None,0
2.5, None,0,0,2,3.5, 1989-01-25 06:50:00, None,0
6, None,0,0,2,7, 1989-01-25 15:30:00, None,0
-0.5, None,0,0,-0.5,6, 1989-01-26 07:00:00, None,0
5, None,0,0,-0.5,6, 1989-01-26 16:00:00, None,0
4, None,0,0,4,5, 1989-01-27 06:50:00, None,0
8, None,0,0,4,8.5, 1989-01-27 15:30:00, None,0
1, None,0,0,1,10, 1989-01-28 07:30:00, None,0
8, None,0,0,1,9, 1989-01-28 15:30:00, None,0
5, None,0,0,4,7, 1989-01-29 07:30:00, None,0
7, None,0,0,4,7, 1989-01-29 15:30:00, None,0
9.5, None,0,0,6.5,10, 1989-01-30 07:10:00, None,0
5, None,0,0,5,6, 1989-01-30 16:00:00, None,0
0, None,0,0,-1,5, 1989-01-31 07:00:00, None,0
0.5, None,0,0,-1,1, 1989-01-31 15:30:00, None,0
-12, None,3,3,-12,-11, 1989-02-01 07:00:00, None,3
-11.5, None,3,3,-11.5,-10, 1989-02-01 15:30:00, None,6
-12.5, None,0,0,-12.5,-12, 1989-02-02 07:00:00, None,6
-9, None,0,0,-13,-8, 1989-02-02 15:30:00, None,6
-13, None,0,0,-13,-12, 1989-02-03 07:00:00, None,6
-6.5, None,0,0,-13,-6, 1989-02-03 15:50:00, None,6
-6, None, None, None,-12,-6, 1989-02-04 07:30:00, None, None
-1, None, None, None,-8,-1, 1989-02-04 15:30:00, None, None
-10, None, None, None,-11,0, 1989-02-05 07:30:00, None, None
3, None, None, None,-11,4, 1989-02-05 15:30:00, None, None
-5.5, None,0,0,-10.5,-5, 1989-02-06 07:00:00, None,3
5.5, None,0,0,-3,7, 1989-02-06 15:30:00, None,3
-6.5, None,0,0,-7,5, 1989-02-07 07:00:00, None,3
4, None,0,0,-6,5, 1989-02-07 14:00:00, None,0
-5.5, None,0,0,-7,4, 1989-02-08 07:00:00, None,0
5.5, None,0,0,-5.5,6, 1989-02-08 15:40:00, None,0
-5, None,0,0,-5,5, 1989-02-09 07:00:00, None,0
7.5, None,0,0,-5.5,8, 1989-02-09 17:00:00, None,0
-6.5, None,0,0,-6.5,7, 1989-02-10 07:00:00, None,0
6, None,0,0,-6.5,7, 1989-02-10 14:30:00, None,0
-5, None,0,0,-5,9, 1989-02-11 07:30:00, None,0
6, None,0,0,-5,8, 1989-02-11 15:30:00, None,0
-3, None,0,0,-5,8, 1989-02-12 07:30:00, None,0
3, None,0,0,-5,3, 1989-02-12 15:30:00, None,0
-3.5, None,0,0,-5.5,3, 1989-02-13 07:00:00, None,0
3, None,0,0,-3,3.5, 1989-02-13 15:30:00, None,0
-6, None,0,0,-6,3, 1989-02-14 07:00:00, None,0
6, None,0,0,-6,7, 1989-02-14 16:00:00, None,0
-6.5, None,0,0,-6.5,6, 1989-02-15 07:00:00, None,0
7, None,0,0,-6.5,7, 1989-02-15 15:30:00, None,0
1, None,0,0,-2.5,7, 1989-02-16 07:00:00, None,0
-0.5, None,14,14,-1,1, 1989-02-16 17:00:00, None,14
-1, None,4,4,-1,-0.5, 1989-02-17 07:30:00, None,16
0, None,7,7,-1,1, 1989-02-17 15:30:00, None,18
0, None, None, None,0,0, 1989-02-18 07:00:00, None,16
3, None,0,0,0,3.5, 1989-02-18 15:00:00, None,12
3, None,0,0,1,3, 1989-02-19 07:30:00, None,11
6, None, None,0,1,6, 1989-02-19 15:30:00, None, None
3, None,0,0,1,4, 1989-02-20 07:30:00, None,13
